;material;qtd_loja;qtd_vendas;porcentagem;status
2445;4003769;55;0;1.2;alerta
424;4000495;55;4;13.75;alerta
3590;4006410;55;1;55.0;alerta
2422;4003744;55;2;27.5;alerta
2406;4003727;55;0;1.2;alerta
2423;4003746;55;13;4.23;alerta
2437;4003761;55;0;1.2;alerta
2436;4003760;55;0;1.2;alerta
2416;4003738;55;0;1.2;alerta
410;4000480;55;0;1.2;alerta
2096;4002890;53;0;1.2;alerta
3064;4005513;53;0;1.2;alerta
3396;4006157;53;0;1.2;alerta
2682;4004260;53;2;26.5;alerta
3434;4006205;53;0;1.2;alerta
2008;4002722;52;0;1.2;alerta
4351;6000969;52;11;4.73;alerta
4134;6000639;52;14;3.71;alerta
677;4000806;52;16;3.25;alerta
2687;4004292;52;8;6.5;alerta
4322;6000922;52;10;5.2;alerta
2116;4002940;52;1;52.0;alerta
1137;4001382;52;0;1.2;alerta
595;4000694;52;8;6.5;alerta
4137;6000642;52;15;3.47;alerta
2023;4002742;52;0;1.2;alerta
594;4000693;52;3;17.33;alerta
4107;6000609;52;20;2.6;alerta
663;4000783;52;12;4.33;alerta
2834;4004785;52;1;52.0;alerta
4106;6000607;52;4;13.0;alerta
1785;4002379;52;2;26.0;alerta
1336;4001648;52;1;52.0;alerta
2487;4003831;52;2;26.0;alerta
4092;6000571;52;7;7.43;alerta
4136;6000641;52;7;7.43;alerta
4409;6001074;46;0;1.2;alerta
1292;4001568;45;1;45.0;alerta
2575;4004070;44;0;1.2;alerta
1964;4002651;44;4;11.0;alerta
3242;4005850;44;2;22.0;alerta
426;4000497;44;7;6.29;alerta
4309;6000907;39;0;1.2;alerta
4132;6000637;39;4;9.75;alerta
4325;6000926;39;2;19.5;alerta
2763;4004480;39;0;1.2;alerta
4091;6000569;39;11;3.55;alerta
1681;4002193;38;0;1.2;alerta
1683;4002195;38;0;1.2;alerta
281;4000337;35;0;1.2;alerta
3547;4006342;33;4;8.25;alerta
3554;4006349;33;0;1.2;alerta
3553;4006348;33;0;1.2;alerta
3551;4006346;33;0;1.2;alerta
3550;4006345;33;0;1.2;alerta
3542;4006337;33;0;1.2;alerta
3534;4006329;33;0;1.2;alerta
3532;4006327;33;0;1.2;alerta
3529;4006324;33;0;1.2;alerta
3530;4006325;33;1;33.0;alerta
3518;4006305;33;0;1.2;alerta
906;4001105;33;6;5.5;alerta
3054;4005497;33;2;16.5;alerta
2148;4003021;33;0;1.2;alerta
2246;4003441;33;0;1.2;alerta
2471;4003811;33;0;1.2;alerta
2022;4002741;33;0;1.2;alerta
2056;4002823;33;3;11.0;alerta
2065;4002843;33;4;8.25;alerta
3134;4005710;33;1;33.0;alerta
3114;4005674;33;0;1.2;alerta
2507;4003870;33;0;1.2;alerta
2070;4002855;33;2;16.5;alerta
2963;4005345;33;0;1.2;alerta
581;4000679;29;0;1.2;alerta
2288;4003564;27;5;5.4;alerta
2318;4003609;27;0;1.2;alerta
4112;6000614;26;6;4.33;alerta
4090;6000559;26;1;26.0;alerta
4098;6000587;26;10;2.6;alerta
1843;4002471;26;2;13.0;alerta
4072;6000523;26;4;6.5;alerta
2584;4004080;26;0;1.2;alerta
2220;4003325;26;1;26.0;alerta
4071;6000521;26;2;13.0;alerta
2585;4004081;26;0;1.2;alerta
1556;4002025;26;0;1.2;alerta
4113;6000615;26;4;6.5;alerta
4299;6000892;26;8;3.25;alerta
4355;6000973;26;7;3.71;alerta
3371;4006071;26;5;5.2;alerta
1233;4001499;26;0;1.2;alerta
4311;6000909;26;1;26.0;alerta
1239;4001505;26;1;26.0;alerta
4237;6000771;26;15;1.73;alerta
2082;4002870;22;0;1.2;alerta
2280;4003555;22;0;1.2;alerta
2368;4003683;22;0;1.2;alerta
533;4000620;22;0;1.2;alerta
2333;4003624;22;0;1.2;alerta
2337;4003634;22;0;1.2;alerta
2133;4002964;22;0;1.2;alerta
962;4001179;22;6;3.67;alerta
1979;4002673;22;3;7.33;alerta
4001;6000414;22;0;1.2;alerta
3474;4006246;22;0;1.2;alerta
3999;6000412;22;0;1.2;alerta
2348;4003658;22;1;22.0;alerta
3476;4006249;22;0;1.2;alerta
2550;4003990;22;2;11.0;alerta
1688;4002200;22;0;1.2;alerta
3450;4006221;22;0;1.2;alerta
788;4000937;22;3;7.33;alerta
1194;4001454;22;0;1.2;alerta
3354;4006040;22;0;1.2;alerta
3160;4005747;22;0;1.2;alerta
3506;4006284;22;2;11.0;alerta
2862;4005095;22;2;11.0;alerta
1484;4001882;22;0;1.2;alerta
1504;4001904;22;6;3.67;alerta
706;4000840;22;2;11.0;alerta
2592;4004088;22;0;1.2;alerta
399;4000469;22;2;11.0;alerta
3562;4006361;22;0;1.2;alerta
4000;6000413;22;0;1.2;alerta
2389;4003708;22;0;1.2;alerta
2372;4003687;22;0;1.2;alerta
1076;4001306;22;9;2.44;alerta
2446;4003770;22;0;1.2;alerta
2455;4003782;22;0;1.2;alerta
1934;4002593;18;1;18.0;alerta
4412;6001078;17;1;17.0;alerta
670;4000793;15;70;0.21;
4084;6000540;13;0;1.2;alerta
4131;6000636;13;0;1.2;alerta
4076;6000530;13;0;1.2;alerta
4083;6000538;13;0;1.2;alerta
4074;6000527;13;0;1.2;alerta
3858;6000237;13;4;3.25;alerta
3995;6000400;13;3;4.33;alerta
4407;6001069;13;1;13.0;alerta
4128;6000633;13;0;1.2;alerta
4130;6000635;13;0;1.2;alerta
4103;6000602;13;0;1.2;alerta
4099;6000588;13;3;4.33;alerta
4078;6000532;13;0;1.2;alerta
4089;6000547;13;0;1.2;alerta
672;4000795;13;30;0.43;
4080;6000534;13;0;1.2;alerta
4096;6000584;13;3;4.33;alerta
4079;6000533;13;0;1.2;alerta
1670;4002178;11;0;1.2;alerta
2374;4003689;11;0;1.2;alerta
1661;4002169;11;0;1.2;alerta
2369;4003684;11;0;1.2;alerta
2617;4004122;11;0;1.2;alerta
2850;4005076;11;0;1.2;alerta
2782;4004574;11;5;2.2;alerta
2370;4003685;11;0;1.2;alerta
1908;4002563;11;0;1.2;alerta
7;4000020;9;27;0.33;
2619;4004124;8;21;0.38;
6;4000019;7;151;0.05;
695;4000828;5;1;5.0;alerta
697;4000830;5;0;1.2;alerta
1918;4002574;4;1;4.0;alerta
4581;6001415;4;14;0.29;
1318;4001620;3;5;0.6;
2380;4003695;3;6;0.5;
1902;4002553;2;13;0.15;
3651;4006501;2;0;1.2;alerta
299;4000360;2;2;1.0;
381;4000446;2;45;0.04;
2530;4003954;2;1;2.0;alerta
4009;6000425;2;5;0.4;
1294;4001570;2;0;1.2;alerta
1922;4002579;2;0;1.2;alerta
139;4000173;2;3;0.67;
4410;6001075;2;2;1.0;
1727;4002288;2;0;1.2;alerta
488;4000567;1;5;0.2;
779;4000927;1;2;0.5;
247;4000301;1;2;0.5;
1559;4002034;1;0;1.2;alerta
3584;4006396;1;0;1.2;alerta
2375;4003690;1;0;1.2;alerta
2379;4003694;1;1;1.0;
3585;4006397;1;0;1.2;alerta
275;4000331;1;5;0.2;
277;4000333;1;3;0.33;
2383;4003698;1;9;0.11;
1542;4001984;1;11;0.09;
2790;4004594;1;4;0.25;
2489;4003833;1;21;0.05;
2217;4003322;1;11;0.09;
2263;4003530;1;45;0.02;
2410;4003731;1;7;0.14;
793;4000943;1;0;1.2;alerta
2870;4005114;1;1;1.0;
1716;4002276;1;2;0.5;
298;4000359;1;3;0.33;
1816;4002431;1;56;0.02;
3347;4005995;0;0;0.0;
3337;4005946;0;4;0.0;
3364;4006054;0;0;0.0;
3340;4005951;0;15;0.0;
3339;4005950;0;1;0.0;
3365;4006055;0;0;0.0;
3338;4005949;0;37;0.0;
3336;4005945;0;9;0.0;
3366;4006056;0;0;0.0;
3367;4006057;0;1;0.0;
3362;4006048;0;3;0.0;
3335;4005944;0;2;0.0;
239;4000293;0;0;0.0;
3333;4005942;0;3;0.0;
3332;4005941;0;3;0.0;
233;4000287;0;0;0.0;
3369;4006061;0;4;0.0;
3363;4006049;0;3;0.0;
235;4000289;0;6;0.0;
234;4000288;0;30;0.0;
3360;4006046;0;8;0.0;
3346;4005980;0;0;0.0;
3348;4006000;0;4;0.0;
238;4000292;0;16;0.0;
3350;4006020;0;2;0.0;
3351;4006030;0;1;0.0;
3370;4006070;0;3;0.0;
3345;4005972;0;10;0.0;
3353;4006032;0;2;0.0;
3344;4005961;0;3;0.0;
3343;4005954;0;1;0.0;
236;4000290;0;8;0.0;
3355;4006041;0;4;0.0;
3356;4006042;0;0;0.0;
3357;4006043;0;0;0.0;
3342;4005953;0;2;0.0;
3358;4006044;0;2;0.0;
3341;4005952;0;2;0.0;
237;4000291;0;4;0.0;
908;4001108;0;9;0.0;
232;4000286;0;0;0.0;
209;4000262;0;1;0.0;
3401;4006164;0;2;0.0;
3402;4006165;0;5;0.0;
215;4000268;0;14;0.0;
3404;4006167;0;0;0.0;
3405;4006168;0;3;0.0;
214;4000267;0;1;0.0;
213;4000266;0;0;0.0;
3408;4006171;0;0;0.0;
212;4000265;0;0;0.0;
3410;4006181;0;0;0.0;
211;4000264;0;0;0.0;
210;4000263;0;0;0.0;
208;4000261;0;1;0.0;
3372;4006072;0;0;0.0;
3415;4006186;0;4;0.0;
207;4000260;0;0;0.0;
206;4000259;0;2;0.0;
3418;4006189;0;0;0.0;
3419;4006190;0;0;0.0;
205;4000258;0;0;0.0;
3421;4006192;0;0;0.0;
204;4000257;0;0;0.0;
3423;4006194;0;2;0.0;
3424;4006195;0;0;0.0;
202;4000253;0;1;0.0;
3426;4006197;0;1;0.0;
216;4000269;0;3;0.0;
217;4000270;0;2;0.0;
218;4000271;0;4;0.0;
219;4000272;0;0;0.0;
3373;4006073;0;10;0.0;
3374;4006075;0;5;0.0;
3330;4005938;0;0;0.0;
3375;4006080;0;8;0.0;
3376;4006081;0;1;0.0;
3377;4006082;0;0;0.0;
3378;4006083;0;0;0.0;
3379;4006084;0;0;0.0;
230;4000284;0;5;0.0;
229;4000283;0;2;0.0;
228;4000282;0;4;0.0;
3383;4006100;0;0;0.0;
227;4000281;0;2;0.0;
226;4000280;0;2;0.0;
225;4000279;0;1;0.0;
3387;4006141;0;0;0.0;
3388;4006142;0;0;0.0;
224;4000278;0;0;0.0;
223;4000276;0;0;0.0;
222;4000275;0;0;0.0;
221;4000274;0;1;0.0;
3393;4006154;0;0;0.0;
3394;4006155;0;0;0.0;
3395;4006156;0;0;0.0;
220;4000273;0;0;0.0;
3331;4005940;0;2;0.0;
3320;4005928;0;3;0.0;
3329;4005937;0;1;0.0;
3259;4005867;0;10;0.0;
3248;4005856;0;25;0.0;
3249;4005857;0;2;0.0;
3250;4005858;0;3;0.0;
3251;4005859;0;2;0.0;
3252;4005860;0;10;0.0;
3253;4005861;0;0;0.0;
3254;4005862;0;4;0.0;
3255;4005863;0;2;0.0;
3256;4005864;0;11;0.0;
245;4000299;0;9;0.0;
3258;4005866;0;7;0.0;
3260;4005868;0;13;0.0;
3246;4005854;0;3;0.0;
3261;4005869;0;8;0.0;
3262;4005870;0;0;0.0;
244;4000298;0;5;0.0;
3264;4005872;0;0;0.0;
3265;4005873;0;0;0.0;
3266;4005874;0;1;0.0;
3267;4005875;0;1;0.0;
3268;4005876;0;5;0.0;
3269;4005877;0;10;0.0;
3270;4005878;0;11;0.0;
243;4000297;0;0;0.0;
3247;4005855;0;4;0.0;
3245;4005853;0;2;0.0;
241;4000295;0;0;0.0;
249;4000303;0;0;0.0;
3219;4005827;0;7;0.0;
3220;4005828;0;5;0.0;
3221;4005829;0;1;0.0;
3222;4005830;0;2;0.0;
3223;4005831;0;2;0.0;
3224;4005832;0;0;0.0;
250;4000304;0;1;0.0;
3226;4005834;0;1;0.0;
3227;4005835;0;0;0.0;
3228;4005836;0;1;0.0;
3229;4005837;0;0;0.0;
3231;4005839;0;0;0.0;
3244;4005852;0;1;0.0;
248;4000302;0;2;0.0;
3233;4005841;0;1;0.0;
3234;4005842;0;1;0.0;
3235;4005843;0;0;0.0;
3236;4005844;0;0;0.0;
3237;4005845;0;4;0.0;
3238;4005846;0;1;0.0;
3239;4005847;0;3;0.0;
3240;4005848;0;0;0.0;
3241;4005849;0;5;0.0;
3243;4005851;0;0;0.0;
242;4000296;0;6;0.0;
3274;4005882;0;5;0.0;
3328;4005936;0;10;0.0;
3315;4005923;0;2;0.0;
3304;4005912;0;1;0.0;
3305;4005913;0;2;0.0;
3306;4005914;0;3;0.0;
3307;4005915;0;0;0.0;
3308;4005916;0;1;0.0;
3309;4005917;0;0;0.0;
3310;4005918;0;0;0.0;
3311;4005919;0;0;0.0;
3312;4005920;0;0;0.0;
3313;4005921;0;2;0.0;
3314;4005922;0;0;0.0;
3316;4005924;0;0;0.0;
3302;4005910;0;26;0.0;
3317;4005925;0;1;0.0;
3318;4005926;0;1;0.0;
3319;4005927;0;21;0.0;
3428;4006199;0;2;0.0;
3321;4005929;0;3;0.0;
3322;4005930;0;9;0.0;
3323;4005931;0;2;0.0;
3324;4005932;0;5;0.0;
3325;4005933;0;2;0.0;
3326;4005934;0;0;0.0;
3327;4005935;0;6;0.0;
3303;4005911;0;12;0.0;
3301;4005909;0;4;0.0;
3275;4005883;0;18;0.0;
3287;4005895;0;3;0.0;
3276;4005884;0;25;0.0;
3277;4005885;0;13;0.0;
3278;4005886;0;1;0.0;
3279;4005887;0;1;0.0;
3280;4005888;0;6;0.0;
3281;4005889;0;8;0.0;
3282;4005890;0;7;0.0;
3283;4005891;0;9;0.0;
3284;4005892;0;3;0.0;
3285;4005893;0;9;0.0;
3286;4005894;0;3;0.0;
3288;4005896;0;1;0.0;
240;4000294;0;0;0.0;
3289;4005897;0;2;0.0;
3290;4005898;0;0;0.0;
3291;4005899;0;0;0.0;
3292;4005900;0;0;0.0;
3293;4005901;0;2;0.0;
3294;4005902;0;0;0.0;
3295;4005903;0;3;0.0;
3296;4005904;0;2;0.0;
3297;4005905;0;8;0.0;
3298;4005906;0;4;0.0;
3299;4005907;0;19;0.0;
201;4000252;0;9;0.0;
194;4000245;0;2;0.0;
200;4000251;0;4;0.0;
3573;4006385;0;0;0.0;
107;4000138;0;7;0.0;
106;4000137;0;12;0.0;
3577;4006389;0;0;0.0;
105;4000136;0;7;0.0;
104;4000135;0;1;0.0;
3580;4006392;0;1;0.0;
3581;4006393;0;1;0.0;
3582;4006394;0;0;0.0;
3583;4006395;0;2;0.0;
103;4000134;0;0;0.0;
102;4000133;0;3;0.0;
101;4000132;0;8;0.0;
100;4000131;0;0;0.0;
99;4000130;0;5;0.0;
3591;4006420;0;4;0.0;
98;4000129;0;0;0.0;
3593;4006422;0;0;0.0;
97;4000128;0;0;0.0;
3595;4006424;0;1;0.0;
3596;4006425;0;4;0.0;
3597;4006426;0;1;0.0;
3598;4006427;0;2;0.0;
3599;4006428;0;2;0.0;
3600;4006429;0;5;0.0;
3601;4006430;0;6;0.0;
108;4000139;0;9;0.0;
3572;4006382;0;3;0.0;
199;4000250;0;4;0.0;
109;4000140;0;1;0.0;
3546;4006341;0;0;0.0;
120;4000151;0;7;0.0;
3548;4006343;0;0;0.0;
3549;4006344;0;0;0.0;
119;4000150;0;1;0.0;
118;4000149;0;20;0.0;
3552;4006347;0;0;0.0;
117;4000148;0;4;0.0;
116;4000147;0;4;0.0;
3555;4006350;0;1;0.0;
3556;4006351;0;2;0.0;
3557;4006352;0;0;0.0;
115;4000146;0;2;0.0;
114;4000145;0;2;0.0;
113;4000144;0;4;0.0;
112;4000143;0;24;0.0;
111;4000142;0;0;0.0;
3563;4006362;0;0;0.0;
3564;4006363;0;0;0.0;
110;4000141;0;15;0.0;
3566;4006370;0;1;0.0;
3567;4006371;0;0;0.0;
3568;4006372;0;2;0.0;
3569;4006373;0;5;0.0;
3570;4006374;0;3;0.0;
3602;4006431;0;0;0.0;
3603;4006432;0;0;0.0;
3604;4006433;0;1;0.0;
3605;4006434;0;2;0.0;
3634;4006476;0;1;0.0;
3635;4006477;0;0;0.0;
3636;4006478;0;0;0.0;
3637;4006479;0;2;0.0;
3638;4006480;0;0;0.0;
3639;4006481;0;0;0.0;
3640;4006482;0;0;0.0;
3641;4006483;0;0;0.0;
3642;4006484;0;0;0.0;
3643;4006485;0;0;0.0;
3644;4006486;0;0;0.0;
3645;4006487;0;0;0.0;
3646;4006488;0;0;0.0;
3647;4006489;0;0;0.0;
3648;4006491;0;1;0.0;
3649;4006492;0;0;0.0;
3650;4006493;0;0;0.0;
3652;4006510;0;6;0.0;
95;4000126;0;0;0.0;
3654;4006561;0;1;0.0;
3655;4006562;0;1;0.0;
3656;4006563;0;0;0.0;
3657;4006564;0;0;0.0;
94;4000125;0;1;0.0;
93;4000124;0;0;0.0;
3633;4006475;0;7;0.0;
3632;4006474;0;0;0.0;
3631;4006473;0;0;0.0;
3617;4006458;0;1;0.0;
3606;4006435;0;0;0.0;
96;4000127;0;1;0.0;
3608;4006437;0;2;0.0;
3609;4006438;0;3;0.0;
3610;4006439;0;1;0.0;
3611;4006440;0;0;0.0;
3612;4006441;0;0;0.0;
3613;4006442;0;0;0.0;
3614;4006452;0;0;0.0;
3615;4006454;0;1;0.0;
3616;4006457;0;0;0.0;
3618;4006459;0;0;0.0;
3630;4006472;0;0;0.0;
3619;4006461;0;0;0.0;
3620;4006462;0;0;0.0;
3621;4006463;0;3;0.0;
3622;4006464;0;5;0.0;
3623;4006465;0;1;0.0;
3624;4006466;0;0;0.0;
3625;4006467;0;0;0.0;
3626;4006468;0;0;0.0;
3627;4006469;0;0;0.0;
3628;4006470;0;0;0.0;
3629;4006471;0;0;0.0;
3545;4006340;0;0;0.0;
3544;4006339;0;0;0.0;
3543;4006338;0;0;0.0;
154;4000196;0;2;0.0;
176;4000227;0;1;0.0;
175;4000226;0;1;0.0;
174;4000225;0;7;0.0;
173;4000224;0;3;0.0;
3463;4006235;0;0;0.0;
172;4000223;0;0;0.0;
171;4000222;0;0;0.0;
170;4000221;0;5;0.0;
169;4000220;0;3;0.0;
168;4000219;0;4;0.0;
3469;4006241;0;1;0.0;
167;4000218;0;4;0.0;
166;4000217;0;5;0.0;
3472;4006244;0;2;0.0;
165;4000216;0;1;0.0;
163;4000214;0;5;0.0;
3475;4006247;0;0;0.0;
161;4000207;0;0;0.0;
160;4000203;0;8;0.0;
159;4000201;0;5;0.0;
158;4000200;0;4;0.0;
157;4000199;0;1;0.0;
3481;4006254;0;1;0.0;
3482;4006255;0;2;0.0;
156;4000198;0;0;0.0;
177;4000228;0;2;0.0;
3457;4006228;0;1;0.0;
3456;4006227;0;0;0.0;
3442;4006213;0;2;0.0;
3431;4006202;0;2;0.0;
198;4000249;0;0;0.0;
197;4000248;0;2;0.0;
196;4000247;0;0;0.0;
195;4000246;0;0;0.0;
3217;4005825;0;0;0.0;
193;4000244;0;3;0.0;
3438;4006209;0;4;0.0;
192;4000243;0;0;0.0;
191;4000242;0;3;0.0;
190;4000241;0;2;0.0;
189;4000240;0;2;0.0;
3455;4006226;0;0;0.0;
188;4000239;0;5;0.0;
185;4000236;0;2;0.0;
3446;4006217;0;6;0.0;
184;4000235;0;5;0.0;
183;4000234;0;3;0.0;
182;4000233;0;3;0.0;
181;4000232;0;3;0.0;
180;4000231;0;1;0.0;
179;4000230;0;0;0.0;
178;4000229;0;1;0.0;
3454;4006225;0;1;0.0;
155;4000197;0;0;0.0;
153;4000195;0;7;0.0;
121;4000152;0;26;0.0;
3487;4006260;0;3;0.0;
3517;4006304;0;0;0.0;
131;4000165;0;0;0.0;
3519;4006306;0;0;0.0;
3520;4006307;0;1;0.0;
3521;4006316;0;0;0.0;
3522;4006317;0;0;0.0;
3523;4006318;0;7;0.0;
3524;4006319;0;2;0.0;
130;4000164;0;2;0.0;
129;4000163;0;0;0.0;
3527;4006322;0;0;0.0;
3528;4006323;0;0;0.0;
128;4000162;0;5;0.0;
127;4000161;0;7;0.0;
3531;4006326;0;1;0.0;
126;4000160;0;2;0.0;
3533;4006328;0;0;0.0;
125;4000159;0;0;0.0;
3535;4006330;0;0;0.0;
3536;4006331;0;2;0.0;
3537;4006332;0;3;0.0;
3538;4006333;0;0;0.0;
124;4000158;0;0;0.0;
123;4000157;0;0;0.0;
122;4000156;0;1;0.0;
3516;4006303;0;0;0.0;
3515;4006302;0;0;0.0;
3514;4006301;0;0;0.0;
3500;4006277;0;1;0.0;
3488;4006261;0;0;0.0;
149;4000190;0;4;0.0;
146;4000187;0;1;0.0;
145;4000186;0;0;0.0;
144;4000179;0;0;0.0;
143;4000178;0;6;0.0;
142;4000177;0;2;0.0;
3495;4006268;0;2;0.0;
3496;4006269;0;0;0.0;
140;4000174;0;9;0.0;
3498;4006274;0;7;0.0;
3501;4006278;0;0;0.0;
3513;4006300;0;0;0.0;
138;4000172;0;0;0.0;
3503;4006280;0;3;0.0;
3504;4006282;0;1;0.0;
136;4000170;0;2;0.0;
135;4000169;0;1;0.0;
3507;4006285;0;3;0.0;
133;4000167;0;0;0.0;
3509;4006287;0;0;0.0;
3510;4006290;0;4;0.0;
3511;4006291;0;0;0.0;
132;4000166;0;0;0.0;
3218;4005826;0;2;0.0;
252;4000306;0;3;0.0;
3216;4005824;0;23;0.0;
315;4000376;0;2;0.0;
2902;4005235;0;4;0.0;
2903;4005236;0;20;0.0;
2904;4005237;0;6;0.0;
2905;4005238;0;1;0.0;
2906;4005239;0;6;0.0;
2907;4005240;0;5;0.0;
2908;4005241;0;1;0.0;
2909;4005242;0;7;0.0;
2910;4005251;0;4;0.0;
322;4000383;0;5;0.0;
321;4000382;0;5;0.0;
2913;4005254;0;3;0.0;
2914;4005255;0;0;0.0;
2915;4005256;0;16;0.0;
2916;4005257;0;5;0.0;
320;4000381;0;1;0.0;
2918;4005259;0;12;0.0;
2919;4005260;0;30;0.0;
2920;4005261;0;11;0.0;
2921;4005262;0;19;0.0;
2922;4005263;0;10;0.0;
319;4000380;0;0;0.0;
318;4000379;0;0;0.0;
317;4000378;0;0;0.0;
2926;4005267;0;5;0.0;
323;4000384;0;6;0.0;
2900;4005232;0;0;0.0;
2899;4005231;0;27;0.0;
2885;4005216;0;3;0.0;
2874;4005204;0;0;0.0;
328;4000389;0;1;0.0;
2876;4005206;0;3;0.0;
2877;4005207;0;13;0.0;
2878;4005208;0;6;0.0;
2879;4005209;0;8;0.0;
2880;4005210;0;0;0.0;
2881;4005211;0;2;0.0;
2882;4005212;0;0;0.0;
2883;4005213;0;0;0.0;
2884;4005214;0;6;0.0;
2886;4005217;0;14;0.0;
324;4000385;0;2;0.0;
2887;4005218;0;11;0.0;
2888;4005219;0;4;0.0;
2889;4005220;0;9;0.0;
2890;4005221;0;0;0.0;
327;4000388;0;7;0.0;
326;4000387;0;3;0.0;
2893;4005224;0;9;0.0;
2894;4005225;0;0;0.0;
2895;4005226;0;0;0.0;
2896;4005227;0;8;0.0;
325;4000386;0;0;0.0;
316;4000377;0;2;0.0;
314;4000375;0;0;0.0;
2872;4005202;0;0;0.0;
313;4000374;0;0;0.0;
2959;4005312;0;1;0.0;
304;4000365;0;0;0.0;
2961;4005326;0;3;0.0;
2962;4005342;0;0;0.0;
303;4000364;0;9;0.0;
2964;4005350;0;1;0.0;
302;4000363;0;1;0.0;
2966;4005352;0;11;0.0;
301;4000362;0;1;0.0;
300;4000361;0;2;0.0;
2970;4005361;0;4;0.0;
2971;4005362;0;0;0.0;
2972;4005363;0;4;0.0;
2973;4005371;0;2;0.0;
2974;4005372;0;0;0.0;
2975;4005373;0;9;0.0;
2976;4005374;0;0;0.0;
2977;4005375;0;1;0.0;
2978;4005376;0;0;0.0;
2979;4005378;0;34;0.0;
2980;4005379;0;5;0.0;
2981;4005381;0;0;0.0;
297;4000358;0;0;0.0;
2984;4005388;0;0;0.0;
2985;4005389;0;2;0.0;
2958;4005300;0;2;0.0;
2957;4005299;0;8;0.0;
2956;4005298;0;36;0.0;
2942;4005284;0;9;0.0;
312;4000373;0;1;0.0;
2932;4005274;0;13;0.0;
2933;4005275;0;2;0.0;
311;4000372;0;3;0.0;
2935;4005277;0;3;0.0;
2936;4005278;0;5;0.0;
310;4000371;0;3;0.0;
2938;4005280;0;4;0.0;
2939;4005281;0;8;0.0;
2940;4005282;0;3;0.0;
2941;4005283;0;0;0.0;
2943;4005285;0;1;0.0;
2955;4005297;0;2;0.0;
2944;4005286;0;13;0.0;
2945;4005287;0;15;0.0;
309;4000370;0;2;0.0;
308;4000369;0;3;0.0;
2948;4005290;0;2;0.0;
2949;4005291;0;10;0.0;
307;4000368;0;3;0.0;
2951;4005293;0;29;0.0;
306;4000367;0;3;0.0;
2953;4005295;0;0;0.0;
305;4000366;0;1;0.0;
2873;4005203;0;0;0.0;
2871;4005201;0;3;0.0;
3215;4005823;0;4;0.0;
2813;4004700;0;0;0.0;
2786;4004584;0;14;0.0;
2787;4004586;0;5;0.0;
2788;4004590;0;4;0.0;
2789;4004591;0;2;0.0;
2791;4004595;0;0;0.0;
2792;4004596;0;1;0.0;
2793;4004599;0;3;0.0;
2794;4004601;0;0;0.0;
2795;4004620;0;2;0.0;
2796;4004621;0;1;0.0;
2797;4004626;0;0;0.0;
2798;4004630;0;1;0.0;
347;4000411;0;0;0.0;
346;4000410;0;1;0.0;
2801;4004651;0;4;0.0;
2802;4004652;0;0;0.0;
344;4000408;0;0;0.0;
2804;4004660;0;0;0.0;
2805;4004661;0;0;0.0;
2806;4004662;0;3;0.0;
2807;4004664;0;0;0.0;
2808;4004665;0;1;0.0;
2809;4004679;0;49;0.0;
2810;4004691;0;0;0.0;
2811;4004692;0;0;0.0;
2785;4004583;0;1;0.0;
348;4000412;0;6;0.0;
2783;4004581;0;14;0.0;
2769;4004530;0;2;0.0;
2758;4004442;0;0;0.0;
2759;4004450;0;0;0.0;
2760;4004460;0;0;0.0;
357;4000421;0;4;0.0;
356;4000420;0;0;0.0;
355;4000419;0;8;0.0;
2764;4004481;0;7;0.0;
2765;4004491;0;1;0.0;
2766;4004500;0;0;0.0;
2767;4004510;0;0;0.0;
2768;4004520;0;3;0.0;
2770;4004540;0;0;0.0;
349;4000413;0;4;0.0;
2771;4004550;0;2;0.0;
2772;4004551;0;1;0.0;
2773;4004560;0;2;0.0;
2774;4004561;0;4;0.0;
2775;4004563;0;3;0.0;
351;4000415;0;0;0.0;
2777;4004565;0;1;0.0;
350;4000414;0;3;0.0;
2779;4004570;0;1;0.0;
2780;4004571;0;0;0.0;
2781;4004573;0;14;0.0;
2812;4004694;0;0;0.0;
2814;4004701;0;0;0.0;
2869;4005112;0;1;0.0;
343;4000405;0;1;0.0;
2844;4005060;0;0;0.0;
2845;4005071;0;5;0.0;
2846;4005072;0;1;0.0;
2847;4005073;0;0;0.0;
2848;4005074;0;1;0.0;
2849;4005075;0;8;0.0;
334;4000395;0;1;0.0;
2851;4005077;0;0;0.0;
2852;4005078;0;4;0.0;
333;4000394;0;1;0.0;
2854;4005080;0;11;0.0;
2855;4005081;0;6;0.0;
2856;4005084;0;1;0.0;
332;4000393;0;2;0.0;
331;4000392;0;4;0.0;
2859;4005092;0;0;0.0;
330;4000391;0;2;0.0;
2861;4005094;0;1;0.0;
329;4000390;0;0;0.0;
2863;4005096;0;0;0.0;
2864;4005097;0;1;0.0;
2865;4005098;0;5;0.0;
2866;4005099;0;7;0.0;
2867;4005100;0;8;0.0;
2868;4005111;0;3;0.0;
335;4000396;0;0;0.0;
2842;4005023;0;3;0.0;
2841;4005012;0;34;0.0;
339;4000400;0;1;0.0;
2816;4004721;0;4;0.0;
2817;4004730;0;0;0.0;
342;4000404;0;0;0.0;
2819;4004760;0;10;0.0;
2820;4004770;0;3;0.0;
2821;4004771;0;6;0.0;
2822;4004773;0;1;0.0;
2823;4004774;0;3;0.0;
341;4000403;0;1;0.0;
2825;4004776;0;1;0.0;
340;4000401;0;4;0.0;
