Material;Texto breve material
4001124;NEOCOFLAN GEL
4001125;NEOCOFLAN GEL
4001126;NEODEX CREME
4001127;NEOFOLICO 5MG
4001129;NEOLEFRIN XPE
4001130;NEOPIRIDIN SPRAY
4001132;NEOSAC 300MG
4001136;NEOTAFLAN GTS
4001137;NEOTOSS XPE
4001138;NEOTOSS XPE
4001139;NIZUIL GEL
4001140;OLEO MINERAL
4001141;OLEO MINERAL
4001143;PEPSOGEL SUSPENÃÃO
4001144;PLESONAX 5MG
4001146;PROCTS H
4001147;PROPIOSOL CREME
4001148;PROPIOSOL POMADA
4001151;QUEIMALIVE POMADA
4001152;QUEIMALIVE SUN
4001153;RESFENOL CX
4001154;RESFENOL THERMUS
4001155;HEPATILON LIQ
4001157;REPOFLOR 100
4001158;REPOFLOR 200MG
4001159;REPOFLOR PED
4001160;RITMONEURAN RTM
4001161;SOMINEX COMPOSTO
4001164;TYLEMAX BABY
4001165;TYLEMAX CRIANCA
4001166;TYLEMAX GTS
4001167;UROVIT 100MG
4001168;UROVIT 200MG
4001169;VITA SENIOR
4001170;VITAFER CX
4001171;VITAMINA E
4001172;VITERGYL C
4001173;VITERGYL ZINCO
4001174;XAROPE GUACO
4001177;ACECLOFENACO 100MG
4001178;ACICLOVIR CREME
4001179;ACIDO MEFENAMICO
4001180;ACIDO TRANEXAMICO
4001181;ALBENDAZOL SUS
4001182;ALENDRONATO SODICO
4001183;ALGESTONA+EST 150+10MG
4001184;AMOXICILINA 250MG
4001185;AMOXICILINA 400MG
4001188;AMOXICILINA 500MG
4001189;AMOXICILINA+CLAPOT 875+125MG
4001190;AMOXICILINA+CLAV.POT 400/57MG
4001192;ATENOLOL 50MG
4001193;ATENOLOL 50MG
4001194;ATENOLOL 25MG
4001195;ATENOLOL+CLO 50+12,5MG
4001197;ATORVASTATINA 20MG
4001198;ATORVASTATINA 20MG
4001199;AZITROMICINA 500MG
4001200;AZITROMICINA 600MG
4001201;AZITROMICINA 900MG
4001202;BENZOILMETRONIDAZOL FRASCO
4001203;VALERATO DE
4001205;BROMETO IPRATROPIO
4001206;CAPTOPRIL 25MG
4001207;CAPTOPRIL 25MG
4001208;CAPTOPRIL 50MG
4001209;CARVEDILOL 12,5MG
4001210;CARVEDILOL 25MG
4001211;CARVEDILOL 3,125MG
4001212;CARVEDILOL 6,25MG
4001213;CARVEDILOL 6,25MG
4001214;CEFACLOR 500MG
4001216;CEFALEXINA 250MG
4001217;CEFALEXINA 500MG
4001218;CEFALEXINA 500MG
4001219;CETOCONAZOL 200MG
4001220;CETOPROFENO GTS
4001221;CETOPROFENO 100MG
4001222;CICLOBENZAPRINA 10MG
4001223;CICLOBENZAPRINA 5MG
4001224;CICLOPIROX OLAM
4001225;CIPROFIBRATO 100MG
4001226;CIPROFIBRATO 100MG
4001227;CIPROFLOXACINO 500MG
4001228;CLARITROMICINA 500MG
4001229;CLARITROMICINA 500MG
4001230;CLOBETASOL CREME
4001231;CLOBETASOL POMADA
4001232;CLOBETASOL POMADA
4001233;CLOPIDOGREL 75MG
4001234;CLORTALIDONA 25MG
4001235;CLOTRIMAZOL CREME
4001236;DESLORATADINA 5MG
4001237;DEXAMETASONA CREME
4001238;DEXAMETASONA ELIXIR
4001239;DEXAMETASONA ELIXIR
4001240;DEXAMETASONA 4MG
4001241;DEXCLORF+BETAM 2+0,25MG
4001242;DEXCLORF+BETAMETAS XPE
4001243;DILTIAZEM 60MG
4001244;DOMPERIDONA 10MG
4001245;DOMPERIDONA SUS
4001246;DOXICICLINA 100MG
4001247;ENALAPRIL 10MG
4001248;ENALAPRIL 10MG
4001249;ENALAPRIL 10MG
4001250;ENALAPRIL 5MG
4001252;ESOMEPRAZOL MAG
4001253;ESOMEPRAZOL 40MG
4001254;ESPIRONOLACTONA 25MG
4001255;ESPIRONOLACTONA 50MG
4001256;FINASTERIDA 1MG
4001257;FLUCONAZOL 150MG
4001258;FLUCONAZOL 150MG
4001259;FUROSEMIDA 40MG
4001260;GENFIBROZILA 600MG
4001261;GLIBENCLAMIDA 5MG
4001262;GLIBENCLAMIDA 5MG
4001263;GLIBENCLAMIDA 5MG
4001264;GLIMEPIRIDA 2MG
4001265;GLIMEPIRIDA 4MG
4001266;HIDROCLOROTIAZIDA 25MG
4001267;HIDROCLOROTIAZIDA 25MG
4001268;HIDROCLOROTIAZIDA 50MG
4001269;HIDROQUINONA 40MG
4001270;CLORIDRATO DE
4001271;IBANDRONATO DE
4001272;IPRATROPIO SOL
4001274;LANSOPRAZOL 30MG
4001276;LEVOFLOXACINO 500MG
4001277;LISINOPRIL 10MG
4001279;LOSARTANA POTASSICO
4001280;LOSARTANA POTASSICO
4001281;LOSARTANA+HID 100+25MG
4001282;LOSARTANA+HID 50+12,5MG
4001283;LOSARTANA+HID 50+12,5MG
4001284;MELOXICAM 15MG
4001285;MELOXICAM 7,5MG
4001286;METFORMINA 500MG
4001287;METFORMINA 500MG
4001288;METFORMINA 850MG
4001290;METFORMINA 850MG
4001291;METILDOPA 250MG
4001292;METILDOPA 500MG
4001293;METOPROLOL 100MG
4001294;MOMETASONA CREME
4001295;MOMETASONA POMADA
4001296;ISOSSORBIDA 20MG
4001297;NARATRIPTANA 2,5MG
4001298;NEOMICINA+BACITRACINA POM
4001299;NEOMICINA+BACITRACINA POM
4001300;NIMESULIDA GTS
4001301;NIMESULIDA 100MG
4001303;NISTATINA CREME
4001305;NORFLOXACINO 400MG
4001306;OMEPRAZOL 20MG
4001307;ORLISTATE 120MG
4001308;ORLISTATE 120MG
4001309;PANTOPRAZOL 20MG
4001310;PANTOPRAZOL 40MG
4001312;PIROXICAM 20MG
4001313;PREDNISOLONA 20MG
4001314;PREDNISONA 20MG
4001315;PREDNISONA 20MG
4001316;PREDNISONA 5MG
4001318;PROPRANOLOL 40MG
4001319;PROPRANOLOL 40MG
4001321;RANITIDINA 150MG
4001322;RANITIDINA 150MG
4001324;ROSUVASTATINA CALCICA
4001325;SALBUTAMOL FRASCO
4001326;SECNIDAZOL 450MG
4001328;SILDENAFILA 50MG
4001329;SILDENAFILA 50MG
4001330;SINVASTATINA 20MG
4001331;SINVASTATINA 40MG
4001332;TADALAFILA 20MG
4001333;TADALAFILA 20MG
4001334;TADALAFILA 20MG
4001335;TANSULOSINA 0,4MG
4001337;TERBINAFINA 250MG
4001338;TIBOLONA 2,5MG
4001341;TIOCONAZOL+TINIDAZOL TUBO
4001342;TOBRAMICINA SOL
4001343;TOBRAMICINA+DEXAMET SUS
4001344;VALSARTANA 160MG
4001346;ACEBROFILINA XPE
4001347;ACEBROFILINA XPE
4001348;ACEBROFILINA XPE
4001349;ACEBROFILINA XPE
4001350;ACEBROFILINA XPE
4001351;ACETILCISTEINA XPE
4001352;ACETILCISTEINA 200MG
4001353;ACIDO ACETILSALIC
4001354;AMBROXOL ADT
4001356;AMBROXOL ADT
4001357;AMBROXOL INF
4001360;CARBOCISTEINA XPE
4001361;CETOCONAZOL CREME
4001362;CLOTRIMAZOL CREME
4001364;DEXCLORFENIRAMINA XPE
4001365;DICLOFENAC DIETILAMONIO
4001366;DICLOFENAC DIETILAMONIO
4001367;DICLOFENACO DE
4001368;DICLOFENACO DIETILAMONIO
4001369;DIPIRONA SODIO
4001370;DIPIRONA SODICA
4001371;DROPROPIZINA XPE
4001372;HIDROXIDO DE
4001373;LORATADINA 1MG/ML
4001376;PARACETAMOL 750MG
4001377;PARACETAMOL BEBE
4001378;PARACETAMOL GTS
4001379;PARACETAMOL+CAFE 500+65MG
4001380;PARACETAMOL+CAFEINA 500MG/65MG
4001381;SIMETICONA 125MG
4001382;SIMETICONA 75MG/ML
4001383;SIMETICONA GTS
4001388;TYLENOL SINUS
4001389;VICK VAPORUB
4001390;AFOLIC 5MG
4001391;ALBEL 40MG/ML
4001392;ASMOFEN 0,2MG/ML
4001393;BACTERACIN 400MG+80MG
4001394;BACTERACIN 40MG/ML+8MG/ML
4001395;BONALEN 70MG
4001396;CELESTRAT 2MG/0,25MG
4001397;CELESTRAT XPE
4001398;CLANISTIL SOLUÃÃO
4001399;CO-PRESSOTEC 10/25MG
4001400;CO-PRESSOTEC 20/12,5MG
4001401;COLPATRIN CREME
4001402;DEXASON CREME
4001403;DEXASON ELIXIR
4001405;DIURIX 25MG
4001406;DIURIX 25MG
4001407;DIURIX 50MG
4001408;FERRONIL 40MG
4001409;GLICONIL 5MG
4001410;HISTADIN D
4001412;LIDOGEL 2%
4001413;LOZAN 200MG
4001414;LOZAN CREME
4001415;NIFEDIPRESS RETARD
4001416;RANITIDIL 150MG
4001417;RENALAPRIL 10MG
4001419;TASULIL 0,4MG
4001420;TRILAX CX
4001421;CANDITRAT SUSP
4001422;CETOFENID SOL
4001425;CLOTREN CREME
4001426;COLACT 667MG/ML
4001427;COMPLEXO B
4001428;CYSTEX CX
4001429;DELTALAB LOCAO
4001432;DIPIMED GTS
4001433;DORSPAN COMPOSTO
4001434;ENDCOFF MEL/LIMAO
4001435;FLOMICIN 200MG
4001437;GASTROGEL CX
4001438;IBUPRIL 300MG
4001439;IBUPRIL 600MG
4001443;NAPROX 500MG
4001444;NEOITRAX 100MG
4001445;NEOPIRIDIN CARTELA
4001446;NEOSORO H
4001447;NEOSORO SOL
4001448;NEOSORO SOL
4001449;TYLIDOL GOTAS
4001450;ACICLOVIR 50MG
4001451;ACIDO MEFENAMICO
4001452;ACIDO MEFENAMICO
4001453;ALBENDAZOL 400MG
4001454;ALGESTONA+EST 150+10MG
4001455;ALOPURINOL 100MG
4001457;AMOXICILINA+CLAV 875MG+125MG
4001458;ANLODIPINO 5MG
4001459;ATENOLOL 25MG
4001460;ATENOLOL 100MG
4001461;AZITROMICINA 500MG
4001462;AZITROMICINA 500MG
4001464;BETAM+DIPR 5MG/ML
4001465;BETAMETASONA POMADA
4001466;BETAMETASONA+AC SAL
4001467;BETAMETASONA+GENTA CREME
4001468;BROMOPRIDA 10MG
4001469;CEFADROXILA 500MG
4001471;CEFTRIAXONA 500G
4001472;CETOCONAZOL 200MG
4001473;CETOCONAZOL+BETAM CREME
4001474;CETOCONAZOL+BETAM POM
4001475;CETOCONAZOL+BETAM+NEOM CREM
4001476;CETOCONAZOL+BETAM+NEOM CREM
4001477;CETOCONAZOL+BETAM+NEOM POM
4001478;CETOCONAZOL+BETAM+NEOM POM
4001479;CETOCONAZOL+DIP BETAM
4001481;CICLOPIROX OLAMINA
4001482;CILOSTAZOL 100MG
4001483;CILOSTAZOL 50MG
4001484;CLOBETASOL CREME
4001485;CLOTRIMAZOL CREM
4001486;CLOTRIMAZOL+DEXAME CREME
4001488;DESONIDA CREME
4001489;DESONIDA POMADA
4001490;DICLOF DE
4001491;DICLOF DE
4001492;ENALAPRIL 5MG
4001493;HIDROXIZINA SOLUCAO
4001495;LOSARTANA POTASSICO
4001496;LOSARTANA+HIDR 100+25MG
4001497;MELOXICAM 7,5MG
4001498;MONTELUCASTE DE
4001499;MUPIROCINA 20MG
4001500;NEOMICINA+BACITRACI POM
4001501;NEOMICINA+BACITRACINA POM
4001502;NIMESULIDA 100MG
4001503;NORETISTERONA ENT+ESTR
4001504;OMEPRAZOL 20MG
4001505;PANTOPRAZOL 40MG
4001507;PREDNISONA 20MG
4001508;PREDNISONA 5MG
4001509;RANITIDINA 150MG
4001510;RANITIDINA 150MG
4001511;SECNIDAZOL 1000MG
4001512;SILDENAFILA 100MG
4001514;TADALAFILA 5MG
4001515;TETRACICLINA+ANFOT B
4001516;TIMOLOL MALEATO
4001517;TIOCONAZOL+TINIDAZOL TUBO
4001519;BETAMETASONA+CLIOQU+ASSOC CREM
4001520;ACEBROFILINA XPE
4001521;ACETILCISTEINA 100MG
4001522;ACETILCISTEINA 200MG
4001523;ACETILCISTEINA 600MG
4001525;BROMEXINA XPE
4001526;BROMEXINA XPE
4001527;CETOCONAZOL CREME
4001528;CETOCONAZOL SHAMPOO
4001529;CLOTRIMAZOL CREME
4001531;DIPIRONA GTS
4001532;DIPIRONA 50MG
4001533;DIPIRONA 500MG
4001534;IBUPROFENO 100MG/ML
4001535;IBUPROFENO GTS
4001536;NISTATINA+OXIDO DE
4001537;PARACETAMOL 750MG
4001538;PARACETAMOL GTS
4001539;SIMETICONA 40MG
4001540;EPAREMA 20DRG
4001542;EPAREMA HORTELA
4001543;EPAREMA HORTELÃ
4001544;NEBACETIN POM
4001545;NEBACETIN POM
4001546;NEOSALDINA 20DRG
4001547;NEOSALDINA 30DRG
4001549;REPARIL GEL
4001550;XANTINON 30CPR
4001551;XANTINON COMPLEX
4001552;NEBA-SEPT SOL
4001553;NEBA-SEPT SPRAY
4001554;NENE DENT
4001555;FLORALYTE 45
4001556;FLORALYTE 45
4001557;FLORALYTE 45
4001558;FLORALYTE 45
4001559;FLORALYTE 45
4001560;FLORALYTE 90
4001561;FLORALYTE 90
4001565;ALMEIDA PRADO
4001566;SEDAVAN XPE
4001567;SEDAVAN XPE
4001568;CALCITRAN B12
4001569;CLOTRIMIX CREME
4001570;ELIXIR 914
4001572;FIMATOSAN XAROPE
4001573;FIMATOSAN 250
4001574;TAMARINE FIBRAS
4001578;DORILAX 12CPR
4001589;CENTRUM BASE
4001590;CENTRUM BASE
4001591;CENTRUM BASE
4001593;CENTRUM CONTROL
4001594;CENTRUM BASE
4001595;CENTRUM HOMEM
4001596;CENTRUM HOMEM
4001597;CENTRUM MULHER
4001598;CENTRUM MULHER
4001599;CENTRUM PRONUTRIENT
4001600;CENTRUM SELECT
4001601;CENTRUM SELECT
4001602;CENTRUM SELECT
4001603;CENTRUM SELECT
4001604;CENTRUM SELECT
4001605;COMPLEXO OMEGA
4001608;REDOXITOS LARANJA
4001609;REDOXITOS MORANGO
4001610;REDOXITOS UVA
4001620;COREGA ULTRA
4001621;OSCAL CIT
4001622;OSCAL KIDS
4001626;VALDA PAST
4001627;VALDA PAST
4001629;DRAMIN CAPSGEL
4001630;DRAMIN CAPSGEL
4001633;NORIPURUM 100MG
4001634;NORIPURUM FOLICO
4001635;NORIPURUM GTS
4001636;NORIPURUM XPE
4001637;PLANTABEN PO
4001638;PROCTYL 15SUP
4001639;PROCTYL POM
4001640;ALBEL 400MG
4001643;ANTIVIRAX CREME
4001645;ATENOLAB 50MG
4001647;BENEUM 300MG
4001648;BRONTEK XPE
4001649;CAPTOLAB 25MG
4001650;PROCTYL POM
4001651;AD-TIL GTS
4001652;ALBOCRESIL 6
4001653;ALBOCRESIL GEL
4001654;BRONCHO VAXOM
4001655;DRAMIN B6
4001656;DRAMIN B6
4001657;ESALERG 5MG
4001658;ESALERG GTS
4001659;LEVOID 150MG
4001660;NOVOCILIN 875MG
4001663;ASTRO 1500MG
4001664;DUOFILM 15ML
4001665;ACULAR LS
4001666;FRESH TEARS
4001669;TRIAXIN IM
4001672;ADEFORTE ORAL
4001673;ORGANO NEUROCEREBRAL
4001675;BETATRINTA INJ
4001676;PILOCARPINA SOL
4001678;ZYMAR XD
4001679;YANG 30
4001680;INSUL LANTUS
4001681;INSUL LANTUS
4001683;INSUL APIDRA
4001684;INSUL APIDRA
4001685;SINUSTRAT SOL.NATURAL
4001686;SINUSTRAT FR
4001687;UTROGESTAN 200MG
4001688;HUMULIN N
4001689;HUMULIN N
4001690;HUMULIN R
4001691;HUMULIN R
4001692;HUMALOG C/10ML
4001693;HUMALOG C/2REFX3ML
4001695;PYRIDIUM 100
4001696;PYRIDIUM 200
4001697;ADINOS GEL/CR
4001698;VICK INALADOR
4001699;SONRISAL TRAD
4001700;CAPTOLAB 25MG
4001701;CAPTOLAB 50MG
4001702;CEDROXIL 500MG
4001703;CETOCORT CREME
4001704;CETOCORT POMADA
4001706;CICLO 21
4001710;FLUXON 25MG
4001711;FORMYN 1G
4001712;FORMYN 500MG
4001713;FORMYN 850MG
4001716;GINO-COLON TUBO
4001717;GLICERIN LACTENTES
4001718;HELMIZOL 250MG
4001719;LOZEPREL 20MG
4001720;LOZEPREL 20MG
4001721;MAGMAX TRADICIONAL
4001722;MAXIVIEW SUSP
4001723;MENOCOL 20MG
4001724;MENOCOL 40MG
4001726;OMENAX 20MG
4001727;ONCILEG A
4001728;OMENAX 20MG
4001729;PILEM 0,75MG
4001730;PREDOPTIC SOL
4001731;RANITIDIL 150MG
4001733;RITMONEURAN RTM
4001734;SODIX 50MG
4001736;TININ CREME
4001737;TRAXONOL 100MG
4001738;TRAXONOL 100MG
4001743;CAPTOPRIL 25MG
4001744;CICLOBENZAPRINA 5MG
4001745;CIPROFLOXACINO 500MG
4001746;CLOPIDOGREL 75MG
4001747;ESPIRONOLACTONA 25MG
4001748;ESPIRONOLACTONA 50MG
4001749;FINASTERIDA 5MG
4001750;LEVOFLOXACINO 500MG
4001751;LEVONORGESTREL 1,5MG
4001752;LOSARTANA POTASSICO
4001753;LOSARTANA POTASSICA
4001754;MELOXICAM 15MG
4001755;METRONIDAZOL 250MG
4001756;NIMESULIDA GTS
4001758;SILDENAFILA 50MG
4001759;SILDENAFILA 50MG
4001760;SILDENAFILA 50MG
4001762;TENOXICAM 20MG
4001763;DIPIRONA 500MG
4001764;DIPIRONA 500MG
4001765;NAPROXENO 550MG
4001766;NAPROXENO 550MG
4001767;SINUSTRAT VASOCONSTRITOR
4001768;CELESTAMINE GOTAS
4001769;CELESTONE 0,5MG
4001770;CEFTRIAXONA 1G
4001771;AMITRIPTILINA 25MG
4001772;AMITRIPTILINA 25MG
4001773;BROMAZEPAM 3MG
4001779;DIAZEPAM 10MG
4001790;HEPATILON 10ML
4001791;PEITORAL MARTEL
4001792;PROCTOCAPS 20CP
4001793;PROCTOSAN POMADA
4001795;RESFENOL LIQUIDO
4001796;SANASAR 100ML
4001797;SANASAR SAB
4001798;SUPRAVIT AZ
4001799;SUPRAVIT HOMEM
4001800;SUPRAVIT MULHER
4001809;VALDA TABLETE
4001810;NEOSALDINA 4DRG
4001811;MULTIGRIP 4CP
4001820;DIAZEPAM 5MG
4001821;ESCITALOPRAM 20MG
4001823;FLUOXETINA 20MG
4001824;LAMOTRIGINA 50MG
4001825;MEMANTINA 10MG
4001826;NORTRIPTILINA 25MG
4001830;RISPERIDONA 1MG
4001831;RISPERIDONA 3MG
4001832;SERTRALINA 100MG
4001833;SERTRALINA 25MG
4001834;TOPIRAMATO 25MG
4001855;EPAREMA HORTELÃ
4001857;HELMIZOL 400MG
4001858;MAGNESIA BISURADA
4001860;TREZOR 20MG
4001862;GEL CLINDOXYL
4001865;BETNOVATE CAPILAR
4001866;BETNOVATE CREME
4001867;BETNOVATE CREME
4001868;BETNOVATE POMADA
4001869;BETNOVATE POMADA
4001870;ALDOMET 250MG
4001871;ARTROLIVE C/30EVX4G
4001872;BENICAR 20MG
4001873;BENICAR 40MG
4001874;BENICAR ANLO
4001875;BENICAR ANLO
4001876;BENICAR ANLO
4001877;BENICAR HCT
4001878;BENICAR HCT
4001879;BENICAR HCT
4001880;EXIMIA FIRMALIZE
4001881;EXIMIA FORTALIZE
4001882;EXIMIA TEMPORIZE
4001884;POSTEC POM
4001885;NEUTROFER 500MG
4001886;MONOCORDIL 20MG
4001887;MONOCORDIL 40MG
4001888;MONOCORDIL RETARD
4001889;VITACID GEL
4001890;VITACID PLUS
4001891;VITACID XT
4001892;VITANOL-A CREME
4001893;VITANOL-A CREME
4001894;VITANOL-A CREME
4001895;TAMISA 20MCG
4001896;TAMISA 30
4001897;TAMISA S/
4001898;TAMISA S/
4001899;REMILEV 250/60MG
4001900;ULTRAFER 100MG
4001901;ULTRAFER 50MG
4001903;VITAWIN 2
4001904;VITAWIN KIDS
4001905;EXFORGE HTC
4001906;EXFORGE HTC
4001907;COLIKIDS GOTAS
4001908;CORUS 100MG+25MG
4001909;CITONEURIN 1000
4001910;CITONEURIN 5000
4001920;VICTOZA 6MG/ML
4001921;LACTOSIL 10.000
4001922;TREZOR 10MG
4001924;ETNA C/20
4001925;HALDOL 1MG
4001926;HALDOL 5MG
4001932;NEOVLAR 1ENV
4001937;FLOTAC 70MG
4001938;METAMUCIL LARANJA
4001939;DESALEX 5MG
4001940;FUNCHICOREA PO
4001941;BENZEVIT CREME
4001942;VALDA CLASSICA
4001943;VALDA PAST
4001951;CELESTONE ELIXIR
4001952;CELESTONE SOLUSPAN
4001953;SELOZOK 100MG
4001954;AEROFLUX EDULITO
4001955;AEROLIN 2MG
4001956;AEROLIN NEBULES
4001957;POZATO UNI
4001958;DULCOLAX 5MG
4001960;DECADRONAL INJ
4001961;PARASIN 400MG
4001962;ALPRAZOLAM 0,5MG
4001964;ALPRAZOLAM 0,5MG
4001966;ALPRAZOLAM 1MG
4001968;ALPRAZOLAM 2,0MG
4001969;ALPRAZOLAM 2MG
4001970;MAXIDEX POM.
4001983;MILGAMMA 150MG
4001984;DIPIMED 500MG
4001986;DIPIMED 500MG
4001993;BROMAZEPAM 3MG
4001995;BROMAZEPAM 6MG
4001996;BROMIDRATO DE
4001998;BUPROPIONA 150MG
4002010;CLONAZEPAM 2MG
4002012;CLONAZEPAM GTS
4002013;ESCITALOPRAM 10MG
4002014;ESCITALOPRAM 20MG
4002015;FENITOINA 100MG
4002017;FLUOXETINA 10MG
4002018;FLUOXETINA 20MG
4002020;GABAPENTINA 300MG
4002025;ISOTRETINOINA 10MG
4002026;ISOTRETINOINA 20MG
4002031;LORAZEPAM 2MG
4002034;MIRTAZAPINA 30MG
4002042;OXALATO ESCITALOPRAM
4002044;OXALATO ESCITALOPRAM
4002045;OXCARBAZEPINA 300MG
4002046;OXCARBAZEPINA 600MG
4002049;PAROXETINA 20MG
4002052;QUETIAPINA 25MG
4002055;RISPERIDONA 2MG
4002062;SERTRALINA 50MG
4002063;SERTRALINA 50MG
4002064;SERTRALINA 50MG
4002066;SIBUTRAMINA 15MG
4002068;SIBUTRAMINA 15MG
4002070;TOPIRAMATO 50MG
4002071;TRAMADOL 50MG
4002072;TRAMADOL 50MG
4002073;TRAMADOL 50MG
4002074;TRAMADOL GTS
4002075;VENLAFAXINA 150MG
4002076;VENLAFAXINA 37,5MG
4002077;VENLAFAXINA 75MG
4002078;ZOLPIDEM 10MG
4002081;DEPAKENE 250MG
4002082;DEPAKENE 300MG
4002083;DEPAKENE 500MG
4002084;DEPAKENE XPE
4002085;DEPAKOTE 500MG
4002086;DEPAKOTE ER
4002087;BIOMAG 10MG
4002088;BIOMAG 15MG
4002089;DORENE 75MG
4002090;EXODUS 10MG
4002091;REVANGE 37,5+325MG
4002092;REVANGE 37,5+325MG
4002093;SOMALIUM 3MG
4002094;SOMALIUM 6MG
4002095;ALOIS 10MG
4002099;PROVIRON 25MG
4002100;TOLREST 50MG
4002101;ZARGUS 3MG
4002102;CODEIN 30MG
4002103;TRAMADON 50MG
4002105;AMATO 25MG
4002106;AMATO 50MG
4002107;BUP 150MG
4002108;CARBOLITIUM 300MG
4002109;CARBOLITIUM CR
4002110;PACO 500+30MG
4002111;PACO 500+30MG
4002113;PONDERA 10MG
4002114;PONDERA 15MG
4002115;PONDERA 20MG
4002116;RISS 1MG
4002117;RISS 2MG
4002118;RISS 3MG
4002119;SIBUS 15MG
4002120;SIBUS 15MG
4002122;TYLEX 30MG
4002123;TYLEX 30MG
4002124;TYLEX 30MG
4002125;TYLEX 7,5MG
4002126;ULTRACET 37,5+325MG
4002127;ULTRACET 37,5+325MG
4002128;ULTRACET 37.5MG
4002129;CITTA 20MG
4002130;MANTIDAN 100MG
4002131;ANAFRANIL 25MG
4002132;ANAFRANIL SR
4002134;RITALINA 10MG
4002135;TEGRETOL 200MG
4002136;TEGRETOL 200MG
4002137;TEGRETOL 400MG
4002138;TEGRETOL SUS
4002139;TRILEPTAL 6PC
4002140;FRONTAL 0,25MG
4002141;FRONTAL 0,5MG
4002142;FRONTAL 1MG
4002143;LYRICA 150MG
4002144;LEXOTAN 6MG
4002146;LEXOTAN 3MG
4002147;RIVOTRIL 0,5MG
4002148;RIVOTRIL 0,25MG
4002149;RIVOTRIL 2MG
4002150;RIVOTRIL 2MG
4002151;RIVOTRIL GTS
4002152;ROACUTAN 20MG
4002153;VALIUM 5MG
4002154;VALIUM 10MG
4002155;AMPLICTIL 25MG
4002156;AMPLICTIL 100MG
4002157;FRISIUM 10MG
4002158;GARDENAL 50MG
4002159;GARDENAL 100MG
4002160;GARDENAL PED
4002161;HIDANTAL 100MG
4002162;NEOZINE 4%
4002163;NEOZINE 100MG
4002164;NEOZINE 25MG
4002165;NEULEPTIL 10MG
4002166;NEULEPTIL 1PC
4002167;NEULEPTIL 4PC
4002168;DEPOSTERON 200MG
4002169;AMYTRIL 25MG
4002170;AMYTRIL 25MG
4002171;ARCOXIA 60MG
4002172;ARCOXIA 90MG
4002173;ARCOXIA 90MG
4002174;FLUXENE 20MG
4002175;FLUXENE 20MG
4002176;RISPERIDON 1MG
4002177;RISPERIDON 2MG
4002178;RISPERIDON 3MG
4002179;RISPERIDON SL
4002180;CELEBRA 200MG
4002181;CELEBRA 200MG
4002182;LORAX 1MG
4002183;LORAX 2MG
4002185;LEVOID 200
4002186;CIPIDE 100MG
4002189;ZINNAT 250MG
4002190;ZINNAT 500MG
4002191;ZINNAT 500MG
4002193;NEXIUM 20MG
4002194;NEXIUM 20MG
4002195;NEXIUM 40MG
4002196;NEXIUM 40MG
4002197;ALPHAGAN SOL
4002198;ALPHAGAN Z
4002199;DIGEPLUS C/30CP
4002200;VESICARE 10MG
4002201;VESICARE 5MG
4002202;PROFENID PROTECT
4002203;SELENE C/21CP
4002204;SELENE C/63CP
4002205;STUGERON 25MG
4002206;STUGERON 75MG
4002207;SUSTRATE 10MG
4002208;ACTONEL 150MG
4002209;AZELAN GEL
4002213;ALGINAC 1000
4002214;ALGINAC 1000
4002215;AZOPT 1PC
4002216;NEVANAC SUS
4002217;NEVANAC UNO
4002218;SOYFEMME C/30CP
4002219;GEROVITAL C/60CP
4002241;DILACORON 80MG
4002243;MAGNESIA BISURADA
4002244;PURAN T4
4002245;PURAN T4
4002246;PURAN T4
4002250;DORALGINA CX
4002252;VALDA PAST
4002270;SIRDALUD 2MG
4002271;TRAYENTA 5MG
4002273;TRAYENTA DUO
4002274;ANGELIQ C/28CP
4002276;BACLON C/20CP
4002277;BETADINE 24
4002278;BIOZINC 75ML
4002279;BUONA 150MG
4002280;GROW CÃLCIO
4002281;GROW D
4002282;GROW VIT
4002283;GROW VIT
4002284;OSSFOR C/30CP
4002286;HIXIZINE COMP
4002287;HIXIZINE SOL
4002288;DIAMOX C/25CP
4002289;OCUPRESS 5ML
4002290;CYLOCORT COL
4002291;CYLOCORT POM
4002293;PROEPA GESTA
4002294;CAMOMILINA C
4002295;ACIDO FUSIDICO
4002296;PROFENID INJ
4002298;LUFTA GASTROPRO
4002299;LUFTA GASTROPRO
4002300;FOLDAN POMADA
4002301;DIOSMIN SDU
4002302;ALLEGRA D
4002303;ATLANSIL 100MG
4002305;CALCORT 6MG
4002306;CLORANA 25MG
4002307;CLORANA 50MG
4002309;ESPERSON POMADA
4002310;BIO SOAK
4002311;TEUTOVIT E
4002313;DIGESTIL 10MG
4002317;PRESSOTEC 10MG
4002318;PRESSOTEC 5MG
4002319;CARBIDOL 25/250MG
4002322;TEUSIL 25MG
4002323;DIGESTIL SOL
4002324;CICATRIDERM GEL
4002326;CATIVA SACHÃ
4002327;KALIST 2MG
4002328;PANT 50MG/ML
4002329;SANY D
4002330;SANY D
4002331;SANY D
4002333;CLEXANE SAFETY
4002335;DONAREN 50MG
4002336;DONAREN 100MG
4002337;DUOFLAM INJ
4002338;EPIDUO GEL
4002339;SELOKEN 100MG
4002340;ACICLOVIR CREME
4002341;BARISTAR CAP
4002343;AMOXICILINA 500MG
4002344;AMOXICILINA 500MG
4002346;AZITROMICINA 500MG
4002347;AZITROMICINA 500MG
4002351;CETIRIZINA 10MG
4002356;DESLORATADINA XPE
